"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Optimizing business processes by learning from monitoring results","M. L. Sebu; H. Ciocârlie","Computer and Software Engineering Department, Politehnica University of Timisoara, Romania; Computer and Software Engineering Department, Politehnica University of Timisoara, Romania","2016 IEEE 11th International Symposium on Applied Computational Intelligence and Informatics (SACI)","9 Jul 2016","2016","","","43","50","In the current paper we propose analyzing the recorded information about broken rules in business process execution and using it for enhancing business process models defined inside organizations for specific business cases. An alert system is designed as a Web Application for detecting deviations by verifying the event log data of the running cases. We consider it a Business Activity Monitoring solution implementing a custom rule definition language mainly created for ensuring the operational support inside organizations by providing guidance to people as task owners in real time about their actions not compliant with process definition. The current system is able to analyze real-time events with the scope of identifying problems, diagnosing them and generating alerts to recommend managerial action. The main effect should be a better performance of the organization and better business results. We consider that processes are meant to automatize and ease the work and should be commonly understood and accepted by the people contributing inside organizations. A rule constantly broken could indicate that a process difficult to follow in specific areas. Such statistical information about broken rules could represent the input for business process improvements. We also consider as a possibility referencing a process definition instead of a set of rules. The running cases are checked for conformance with the reference process model and if the case is not compliant, a trigger is activated and the information is used further for a possible evolution of business process definitions. The business process model is re-built from monitoring results and statistical information.","","978-1-5090-2380-6","10.1109/SACI.2016.7507417","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7507417","business process;learning;association rules;business activity monitoring","Organizations;Monitoring;Standards organizations;Collaboration;Data mining;Computational modeling","business data processing;Internet;learning (artificial intelligence)","business process model optimization;business cases;Web Application;event log data;business activity monitoring solution;task owners;managerial action;business process improvements;statistical information","","","","7","","9 Jul 2016","","","IEEE","IEEE Conferences"
"Toward full-text searching middleware over hierarchical documents","K. Ma; B. Yang; A. Abraham","Shandong Provincial Key Laboratory of Network Based Intelligent Computing, University of Jinan, China; Shandong Provincial Key Laboratory of Network Based Intelligent Computing, University of Jinan, China; Machine Intelligence Research Labs, Scientific Network for Innovation and Research Excellence, WA, USA","2013 13th International Conference on Intellient Systems Design and Applications","13 Oct 2014","2013","","","194","198","Currently, full-text searching can benefit from the emerging NoSQL databases and traditional indexing tools in the big data era. However, there are some drawbacks of current solutions. On one hand, the indexing documents lack of the hierarchy. On the other hand, big data have become the bottleneck of full-text searching. In the context of big data, we design a full-text searching middleware over hierarchical documents. We discuss the architecture of this middleware in detail. In addition, we propose a structure-independent hierarchical document model to present the hierarchical document. Moreover, the transformation engine is designed to translate the rich files into models. The core log event listener is responsible for capturing the changed documents and push them to the indexing storage at the same time. The experimental results show that our middleware is more advantageous than RDBMS with indexes and RDBMS with Lucene solutions.","2164-7151","978-1-4799-3516-1","10.1109/ISDA.2013.6920734","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6920734","Full-text searching;middleware;hierarchical documents;NoSQL","Middleware;Engines;Real-time systems;Indexes;Open source software","document handling;indexing;information retrieval;middleware;relational databases","full-text searching middleware;NoSQL databases;indexing tools;big data era;indexing documents;structure-independent hierarchical document model;log event listener;RDBMS;Lucene solutions","","2","","12","","13 Oct 2014","","","IEEE","IEEE Conferences"
"Towards Online Discovery of Data-Aware Declarative Process Models from Event Streams","N. Navarin; M. Cambiaso; A. Burattin; F. M. Maggi; L. Oneto; A. Sperduti","University of Padua,Department of Mathematics ""Tullio Levi-Civita"",Padova,Italy; University of Genoa,DIBRIS,Genova,Italy; Technical University of Denmark,Software and Process Engineering,Lyngby,Denmark; Free University of Bozen-Bolzano,Faculty of Computer Science,Bolzano,Italy; University of Genoa,DIBRIS,Genova,Italy; University of Padua,Department of Mathematics ""Tullio Levi-Civita"",Padova,Italy","2020 International Joint Conference on Neural Networks (IJCNN)","28 Sep 2020","2020","","","1","8","In recent years, several techniques have been made available to automatically discover declarative process models from event logs. These techniques are useful to provide a comprehensible picture of the process as opposed to full specifications of process behavior provided by procedural modeling languages. Since many modern systems produce ""big data"" from business process executions, in previous work, a framework for the discovery of LTL-based declarative process models from streaming event data has been proposed. This framework can be used to process events online, as they occur, as a way to deal with large and complex collections of datasets that are impossible to store and process altogether. However, the proposed framework does not take into account data attributes associated with events in the log, which can otherwise provide valuable insights into the rules that govern the process. This paper makes the first proposal to close this gap by presenting a technique for discovering declarative process models from event streams that incorporates both control-flow dependencies and data conditions. Specifically, we use Hoeffding trees to incrementally discover data-aware declarative process models, which are represented as conjunctions of first-order temporal logic expressions. The proposed technique has been validated on a synthetic event log, and on a real-life log of a cancer treatment process.","2161-4407","978-1-7281-6926-2","10.1109/IJCNN48605.2020.9207500","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=9207500","online process discovery;data-aware process model;declarative process models","Data mining;Task analysis;Semantics;Data models;Standards;Approximation algorithms","cancer;data mining;medical computing;temporal logic","data-aware declarative process models;event streams;process behavior;procedural modeling languages;big data;business process executions;LTL-based declarative process models;event data;process events;account data attributes;control-flow dependencies;data conditions;synthetic event log;cancer treatment process;Hoeffding trees;first-order temporal logic expressions","","","","51","","28 Sep 2020","","","IEEE","IEEE Conferences"
"An Activity Rule Based Approach to Simulate ADL Sequences","S. Kristiansen; T. P. Plagemann; V. Goebel","Department of Informatics, University of Oslo, Oslo, Norway; Department of Informatics, University of Oslo, Oslo, Norway; Department of Informatics, University of Oslo, Oslo, Norway","IEEE Access","19 Mar 2018","2018","6","","12551","12572","The concept of activities of daily living (ADL) has for many years successfully been used in a broad range of health and health care applications. Recent hardware and software developments suggest that the future use of ADL will not only benefit from the transition from manually created ADL logs to automatic sensor-based activity recognition and logging but also from the transition from manual inspection of ADL sequences to their automatic software-driven analysis. This ADL sequence analysis software will be core part in mission critical systems, like ambient assisted living, to detect for example changing health status. Therefore, proper testing and evaluation of this software is mandatory before its deployment. However, testing requires data sets that include normal ADL sequences, hazards, and various kinds of long term behavioral changes; which means it might require weeks or even months to monitor individuals to capture such ADL sequences. Thus, collecting such data sets is very costly, if feasible at all; and very few data sets are available on-line. Therefore, we present an approach to create the necessary data sets for testing through simulation. The simulation of ADL sequences is based on existing ADL sequences and uses probabilistic activity instigation and durations with a novel concept called activity rules to create data sets for proper testing. Activity rules are used to model how individuals resolve activity conflicts. We implemented these concepts as a discrete event simulator, called ADLSim. The evaluation of ADLsim shows that the simulated ADL sequences are realistic and able to capture the variability and non-predictable behavior found in the real world, and that activity rules can impact simulation results significantly.","2169-3536","","10.1109/ACCESS.2018.2807761","Regional Research Fund Oslofjord through the TRIO Project; Research Council of Norway through the CESAR Project; ","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8294191","Activities of daily living;activity rules;discrete event simulation;evaluation;modelling","Software;Sequences;Testing;Activity recognition;Senior citizens;Monitoring;Hazards","behavioural sciences computing;computerised instrumentation;data analysis;geriatrics;health care;knowledge based systems;program testing;sensors;software engineering;system monitoring","proper testing;individuals resolve activity conflicts;simulated ADL sequences;simulate ADL;health care applications;automatic software;ADL sequence analysis software;data sets;normal ADL sequences;probabilistic activity instigation;durations;changing health status;activity rule based approach;activities-of-daily living;manually created ADL logs;automatic sensor-based activity recognition;automatic sensor-based activity logging;automatic software-driven analysis;ambient assisted living;ADLSim;long term behavioral changes","","","","32","","19 Feb 2018","","","IEEE","IEEE Journals"
"Analysis of design meetings for understanding software architecture decisions","G. Pedraza-Garcia; H. Astudillo; D. Correal","Departamento de Ingenieria de Sistemas у Computación, Universidad de los Andes, Bogotá, Colombia; Departamento de Informática, Universidad Técnica Federico Santa María, Valparaíso, Chile; Departamento de Ingeniería de Sistemas у Computación, Universidad de los Andes, Bogotá, Colombia","2014 XL Latin American Computing Conference (CLEI)","24 Nov 2014","2014","","","1","10","Software architecture teams use verbal and graphical contributions to evaluate and select alternative design decisions. Usually the rationale behind these decisions is not recorded in the architecture document itself, and many contributions and rationale are lost to future reviewers and builders. This article describes Design Verbal Interventions Analysis (DVIA), which applies verbal protocol analysis to transcribed meetings logs to classify verbal interventions as either issue, orientation, mandatory orientation, request for clarification, explanation, disagreement, constraint, assessment, choice, or assumption. The approach is illustrated with a case study using transcribed meetings from undergraduate student teams designing a command-and-control center for a pan-Andean spatial project. The study shows that much of the interaction supports coevolution of problem understanding and solution framing, with designers engaged in simultaneous resolution of several design issues, following a cyclical structure. This strategy will allow to retrieve software architecture decisions from architecture team meetings.","","978-1-4799-6130-6","10.1109/CLEI.2014.6965159","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6965159","Software architecture design;Architectural decisions;Design meetings;Design Verbal Interventions Analysis","Computer architecture;Protocols;Software architecture;Cognition;Software systems;Vehicles","command and control systems;software architecture","design meetings;software architecture design decisions;design verbal intervention analysis;DVIA;verbal protocol analysis;transcribed meeting logs;command-and-control center;pan-Andean spatial project;architecture team meetings","","4","","42","","24 Nov 2014","","","IEEE","IEEE Conferences"
"Mining Logs to Model the Use of a System","D. Gadler; M. Mairegger; A. Janes; B. Russo","Free Univ. of Bozen-Bolzano, Bolzano, Italy; Schwer Prazision, Rodeneck, Italy; Free Univ. of Bozen-Bolzano, Bolzano, Italy; Free Univ. of Bozen-Bolzano, Bolzano, Italy","2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","11 Dec 2017","2017","","","334","343","Background. Process mining is a technique to build process models from ""execution logs"" (i.e., events triggered by the execution of a process). State-of-the-art tools can provide process managers with different graphical representations of such models. Managers use these models to compare them with an ideal process model or to support process improvement. They typically select the representation based on their experience and knowledge of the system. Aim. This work studies how to automatically build process models representing the actual intents (or uses) of users while interacting with a software system. Such intents are expressed as a set of actions performed by a user to a system to achieve specific use goals. Method. This work applies the theory of Hidden Markov Models to mine use logs and automatically model the use of a system. Results. Unlike the models generated with process mining tools, the Hidden Markov Models automatically generated in this study provide the intents of a user and can be used to recommend managers with a faithful representation of the use of their systems. Conclusions. The automatic generation of the Hidden Markov Models can achieve a good level of accuracy in representing the actual user's intents provided the log dataset is carefully chosen. In our study, the information contained in one-month set of logs helped automatically build Hidden Markov Models with superior accuracy and similar expressiveness of the models built together with the company's stakeholder.","","978-1-5090-4039-1","10.1109/ESEM.2017.47","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8170120","Log analysis;Process modelling;Hidden Markov Chain","Hidden Markov models;Tools;Companies;Mobile communication","business data processing;data mining;hidden Markov models","mining logs;process models;process managers;ideal process model;process improvement;software system;Hidden Markov Models;process mining tools","","2","","15","","11 Dec 2017","","","IEEE","IEEE Conferences"
"Mass log data processing and mining based on Hadoop and cloud computing","H. Yu; D. Wang","State Key Laboratory of Software Architecture, Neusoft Corporation, Neusoft Park, No.2 Xinxiu Street, Hunnan New District, Shenyang 110179, China; State Key Laboratory of Software Architecture, Neusoft Corporation, Neusoft Park, No.2 Xinxiu Street, Hunnan New District, Shenyang 110179, China","2012 7th International Conference on Computer Science & Education (ICCSE)","6 Sep 2012","2012","","","197","202","With the rapid development of the Internet, SaaS applications delivered as services through internet become an important alternative of traditional software. While using the services, users need real time usage information, and they also need to dig out useful knowledge. As a result, data processing and data mining techniques are designed to cope with such problems, and using log data is an effective method to record the SaaS usage information in a standard format. However, as the size of data grows, traditional distributed log data processing systems are not able to processing massive log data from SaaS applications with millions of users. This paper proposes a mass log data processing and data mining methods based on Hadoop to achieve scalability and performance. The model, process, architecture, and implementation of the data processing and mining methods are proposed, and the experimental results is shown and analyzed to prove the effectiveness of the methods.","","978-1-4673-0242-5","10.1109/ICCSE.2012.6295056","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6295056","mass data processing;data mining;real time statistics;business intelligence;Hadoop","Data mining;Data processing;Algorithm design and analysis;Real time systems;Servers;Distributed databases","cloud computing;data mining;distributed processing","mass log data processing;mass log data mining;cloud computing;Hadoop computing;Internet;SaaS applications;distributed log data processing systems","","8","6","11","","6 Sep 2012","","","IEEE","IEEE Conferences"
"A Performance Analysis of Large Scale Scientific Computing Applications from Log Archives","L. Cao; X. Liu; X. Xu; Z. Liu",Institute of Applied Physics and Computational Mathematics; Institute of Applied Physics and Computational Mathematics; Institute of Applied Physics and Computational Mathematics; Institute of Applied Physics and Computational Mathematics,"2019 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)","29 Jul 2019","2019","","","406","411","A log archive for scientific computing applications is a set of logs for model and time of jobs in HPCs. We have developed light weight and fast performance analysis tools on top of log archives. We classify the job logs based on the similarity of the input models to form a model-based tree like archive. With linear regression, we analyze the relations of the step time of the jobs with the parameters in the model. We found that although there is some disturbance, the performance of most of the jobs showed good regularity. In one of the applications, we found the step time of job changes proportionally to the geometric parameters of model. And the most significant physical parameter determines step time up to 1.7 times. In another application, we find that the performance of each step scales 1.59 times with the number of process scales from 384 to 768.","","978-1-7281-3510-6","10.1109/IPDPSW.2019.00079","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8778217","performance analysis;log archive;linear regression;performance predict","Computational modeling;Scientific computing;Tools;Analytical models;Hardware;File systems","geometry;parallel processing;regression analysis;software performance evaluation;trees (mathematics)","performance analysis tools;log archives;model-based tree like archive;geometric parameters;parallel scientific computing applications;linear regression","","","","16","","29 Jul 2019","","","IEEE","IEEE Conferences"
"Discovering Business Processes in Legacy Systems Using Business Rules and Log Mining","G. S. D. Nascimento; C. Iochpe; L. Thom; A. C. Kalsing; G. S. d. Nascimento","NA; Inf. Dept., Fed. Univ. of Rio Grande do Sul, Porto Alegre, Brazil; Inf. Dept., Fed. Univ. of Rio Grande do Sul, Porto Alegre, Brazil; Inf. Dept., Fed. Univ. of Rio Grande do Sul, Porto Alegre, Brazil; NA","2013 IEEE 10th International Conference on e-Business Engineering","19 Dec 2013","2013","","","207","212","This paper shows a method to semi-automate the discovery of business processes implemented implicitly in the source code of legacy systems. The method identifies the encoding of the business activities through the business rules implemented in legacy source code. In this paper we propose a tool to executes the source code instrumentation, identifying the business rules implemented in the legacy system and enabling the creation of event logs. This allows using log mining techniques to discover the partial order of execution of the business rules. Thus it is possible to discover business processes implemented implicitly in the source code of legacy systems. This paper also presents a case study conducted in a medical information system.","","978-0-7695-5111-1","10.1109/ICEBE.2013.31","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6686264","business rules;legacy system;business processes;process mining","Conferences","business data processing;data mining;software maintenance;source code (software);system monitoring","medical information system;log mining techniques;event logs;source code instrumentation;legacy source code;business activity encoding;business rules;legacy systems;business processes discovery","","","","20","","19 Dec 2013","","","IEEE","IEEE Conferences"
"A Novel Approach of Unprivileged Keylogger Detection","A. Wajahat; A. Imran; J. Latif; A. Nazir; A. Bilal","School of Software Engineering, Beijing University of Technology, Beijing, 100124, China; School of Software Engineering, Beijing University of Technology, Beijing, 100124, China; School of Software Engineering, Beijing University of Technology, Beijing, 100124, China; School of Software Engineering, Beijing University of Technology, Beijing, 100124, China; School of Software Engineering, Beijing University of Technology, Beijing, 100124, China","2019 2nd International Conference on Computing, Mathematics and Engineering Technologies (iCoMET)","25 Mar 2019","2019","","","1","6","Nowadays, computers are used everywhere to carry out daily routine tasks. The input devices i.e. keyboard or mouse are used to feed input to computers. The surveillance of input devices is much important as monitoring the users logging activity. A keylogger also referred as a keystroke logger, is a software or hardware device which monitors every keystroke typed by a user. Keylogger runs in the background that user cannot identify its presence. It can be used as monitoring software for parents to keep an eye on children activity on computers and for the owner to monitor their employees. A keylogger (which can be either spyware or software) is a kind of surveillance software that has the ability to store every keystroke in a log file. It is very dangerous for those systems which use their system for daily transaction purpose i.e. Online Banking Systems. A keylogger is a tool, made to save all the keystroke generated through the machine which sanctions hackers to steal sensitive information without user's intention. Privileged also relies on the access for both implementation and placement by Kernel keylogger, the entire message transmitted from the keyboard drivers, while the programmer simply relies on kernel level facilities that interrupt. This certainly needs a large power and expertise for real and error-free execution. However, it has been observed that 90% of the current keyloggers are running in userspace so they do not need any permission for execution. Our aim is focused on detecting userspace keylogger. Our intention is to forbid userspace keylogger from stealing confidential data and information. For this purpose, we use a strategy which is clearly based on detection manner techniques for userspace keyloggers, an essential category of malware packages. We intend to achieve this goal by matching I/O of all processes with some simulated activity of the user, and we assert detection in case the two are highly correlated. The rationale behind this is that the more powerful stream of keystrokes, the more I/O operations are required by the keylogger to log the keystrokes into the file.","","978-1-5386-9509-8","10.1109/ICOMET.2019.8673404","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8673404","Keylogger userspace;privileged;keystroke simulation;security","Kernel;Keyboards;Computers;Microsoft Windows;Monitoring","authorisation;invasive software;mobile computing;operating system kernels","keystroke logger;monitoring software;spyware;surveillance software;Kernel keylogger;unprivileged keylogger detection;userspace keylogger detection;confidential data stealing;malware packages","","1","","17","","25 Mar 2019","","","IEEE","IEEE Conferences"
"Logging mechanism for Internet of Things: A Case Study of Patient Monitoring System","P. Maneenual; S. Vasupongayya","Management of Information Technology, Prince of Songkla University, Songkhla, Hat Yai, Thailand; Department of Computer Engineering, Prince of Songkla University, Songkhla, Hat Yai, Thailand","2018 15th International Joint Conference on Computer Science and Software Engineering (JCSSE)","11 Sep 2018","2018","","","1","6","A logging mechanism for NETPIE in the patient medical device monitoring task is proposed in this work. The logging mechanism aims to collect the communication log between things and NETPIE such that any communication issue or any attack can be detected. There are three main components in the proposed logging mechanism including the raw data, the analysis part, and the final result. The raw data is approximately less than 256 bytes per each communication. The raw data will be analyzed to generate the final result which will contain only the suspicion events including communication issue (i.e., packet lost) and possible attack (i.e., reply attack). The cost of the proposed mechanism includes an extra communication per each communication path and a storage space for the collected data at NETPIE, and things.","","978-1-5386-5538-2","10.1109/JCSSE.2018.8457390","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8457390","NETPIE;packet lost;log analysis;Apache Cassandra","Patient monitoring;Internet;Biomedical monitoring;Medical services;Computer science;Software engineering","biomedical communication;Internet of Things;medical computing;patient monitoring","logging mechanism;patient monitoring system;NETPIE;patient medical device monitoring task;communication issue;Internet of Things","","2","","18","","11 Sep 2018","","","IEEE","IEEE Conferences"
"Towards Flexible Event-Handling in Workflows through Data States","J. E. Ferreira; Q. Wu; S. Malkowski; C. Pu","Comput. Sci. Dept., Univ. of Sao Paulo, São Paulo, Brazil; Center for Exp. Res. in Comput. Syst., Georgia Inst. of Technol., Atlanta, GA, USA; Center for Exp. Res. in Comput. Syst., Georgia Inst. of Technol., Atlanta, GA, USA; Center for Exp. Res. in Comput. Syst., Georgia Inst. of Technol., Atlanta, GA, USA","2010 6th World Congress on Services","16 Sep 2010","2010","","","344","351","Despite recent advances in many real-time and workflow management systems (WFMS), event-handling is still a manual or semi-automated task. The integration of automated event processing with workflows remains an open research challenge to both academic and industrial communities. In this work, we propose a concrete approach that logs interactions between workflow component activities in the form of data states that accurately and efficiently store necessary information for event-handling. Our approach (called WED-flow) explicitly represents various dependencies and constraints of a WFMS in sophisticated data states. Due to the availability of this large amount of historic information, our approach is able to support a flexible event-handling in WFMS. In this paper we present definitions for workflow management systems that incorporate events, and characterize such systems using the WED-flow approach. We also present a scientific workflow example in genetic testing to illustrate the advantages of integrating events with workflow through the WED-flow approach.","2378-3818","978-1-4244-8199-6","10.1109/SERVICES.2010.60","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=5577256","data-flow;data state;control-flow;event-handling;transaction model;scientific workflow","Business;DNA;Process control;Atrophy;Adaptation model;Workflow management software","data handling;real-time systems;workflow management software","flexible event-handling;workflow management systems;automated event processing;WED-flow approach;genetic testing","","7","","30","","16 Sep 2010","","","IEEE","IEEE Conferences"
"Revealing Students' UML Class Diagram Modelling Strategies with WebUML and LogViz","D. R. Stikkolorum; T. Ho-Quang; M. R. V. Chaudron","LIACS, Leiden Univ., Leiden, Netherlands; Chalmers & Gothenburg Univ., Gothenburg, Sweden; Chalmers & Gothenburg Univ., Gothenburg, Sweden","2015 41st Euromicro Conference on Software Engineering and Advanced Applications","26 Oct 2015","2015","","","275","279","This paper aims to reveal the most common strategies students use to create class designs. We show our approach of logging students' modelling activities while doing a software design task. We developed our own online modelling editor 'Web UML' and visualisation tool 'Log Viz' for the logging and interpretation of the log files. As follow-up students filled-in a brief questionnaire targeting their time spent and difficulties in performing the task. The results show that the students use different strategies for solving the tasks. We categorised these strategies into four main strategies: Depthless, Depth First, Breadth First and Ad Hoc. From our results Depth First indicates to support better layout and richness (detail). From the questionnaire students mention choosing the appropriate UML elements is a difficult and time consuming task. We want to use our insights to improve our educational programs and tools. In the future we want to test Web UML and Log Viz in larger educational contexts.","2376-9505","978-1-4673-7585-6","10.1109/SEAA.2015.77","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7302463","students' modelling strategies;education;software design;UML;activity logging;tracking","Unified modeling language;Visualization;Software design;Layout;Object oriented modeling;Analytical models","computer aided instruction;data visualisation;Internet;software engineering;student experiments;task analysis;Unified Modeling Language","UML class diagram modelling strategies;WebUML;LogViz;students modelling activities;software design task;visualisation tool;educational contexts","","5","","10","","26 Oct 2015","","","IEEE","IEEE Conferences"
"A CSP-theoretic Framework of Checking Conformance of Business Processes","S. Roy; S. Bihary; J. A. C. Laos","Infosys Labs., Infosys Ltd., Bangalore, India; Infosys Labs., Infosys Ltd., Bangalore, India; Dept. of Ind. Eng., Pontificia Univ. Catolica De Chile, Santiago, Chile","2012 19th Asia-Pacific Software Engineering Conference","18 Feb 2013","2012","1","","30","39","In this paper, we tackle the problem of conformance checking which verifies if the event logs (observed) match/fit the reference (arbitrary) process. We use concepts from Communicating Sequential Processes (CSP), which facilitates automated analysis using PAT toolkit. By this technique one can identify all the logs which cannot be properly replayed on the process. We illustrate our approach with an example. Finally, we introduce some metrics based on conformance checking. They are related to fitness, closeness, and appropriateness of the event logs vis-a-vis reference process models.","1530-1362","978-1-4673-4930-7","10.1109/APSEC.2012.110","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6462635","Formal methods;Software verification and validation;conformance checking;BPMN;Business Processes;CSP;PAT toolkit;Trace refinement","Business;Unified modeling language;Synchronization;Process control;Logic gates;System recovery;Standards","business process re-engineering;communicating sequential processes;formal verification;information systems","CSP theoretic framework;business process checking conformance;conformance checking;communicating sequential processes;PAT toolkit;event log fitness;event log closeness;event log appropriateness","","1","","23","","18 Feb 2013","","","IEEE","IEEE Conferences"
"On the Practical Feasibility of Software Monitoring: a Framework for Low-Impact Execution Tracing","J. Mertz; I. Nunes",Universidade Federal do Rio Grande do Sul (UFRGS); Universidade Federal do Rio Grande do Sul (UFRGS),"2019 IEEE/ACM 14th International Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS)","5 Aug 2019","2019","","","169","180","In order for a software system to self-adapt, it often needs to be aware of its behavior. A typical way of achieving this is by means of the runtime collection of execution traces, which requires the interception of the execution of, e.g. methods, and record information about them. Although this is simple in theory, in practice, it can be very costly because it might have a significant impact on the application performance or require huge amounts of memory or storage. This becomes a significant issue mainly in real-time applications, which are time-sensitive and must often meet deadlines in resource-constrained environments. We thus in this paper propose a two-phase tracing framework to cope with the monitoring overhead. In its first phase, the application is monitored in a lightweight fashion providing information for the second phase, which identifies an adaptive configuration and samples traces according to the current configuration. The adaptive configuration is determined by a set of criteria, specified through a proposed domain-specific language. We empirically evaluate our framework by instantiating it as a reduced-overhead monitoring solution, integrated into an existing automated application-level caching approach. We demonstrate that our solution reduces the overhead caused by monitoring, without compromising the performance improvements provided by the caching approach.","2157-2321","978-1-7281-3368-3","10.1109/SEAMS.2019.00030","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8787058","monitoring;logging;execution trace;sampling;caching;performance","Monitoring;Runtime;Software;Measurement;Synthetic aperture sonar;Instruments;Computer bugs","cache storage;specification languages;system monitoring","adaptive configuration;reduced-overhead monitoring solution;software monitoring;low-impact execution tracing;software system;runtime collection;execution traces;record information;application performance;real-time applications;resource-constrained environments;two-phase tracing framework;monitoring overhead;lightweight fashion;automated application-level caching approach","","","","45","","5 Aug 2019","","","IEEE","IEEE Conferences"
"PULSE: A Framework for Protocol Based Utility to Log Student Engagement","R. Majumdar; A. Kothiyal",NA; NA,"2013 IEEE Fifth International Conference on Technology for Education (t4e 2013)","3 Mar 2014","2013","","","159","162","Educational researchers use observations to collect information about classroom activities as they occur. Currently the most prevalent methods of logging classroom observations are pen-and-paper or video recording. The former is inefficient, especially in large classes while the latter requires expensive infrastructure. In this paper we propose the design framework for the development of a software application for protocol-based multi-observer data logging and analysis called PULSE. Following design-based research we developed the four aspects of this framework. They were iteratively improved over the research cycles based on the feedback of the previous cycles. In this work-in progress paper, we present an ongoing design prototype of the application.","","978-0-7695-5141-8","10.1109/T4E.2013.46","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6751085","Observation protocol;Design framework;Mobile Application;Educational Research","Protocols;Observers;Usability;Computer architecture;Prototypes;Interviews","behavioural sciences computing;data recording;graphical user interfaces","PULSE framework;information collection;classroom activities;classroom observation logging;software application;protocol-based multiobserver data analysis;design-based educational research;research cycle improvement;protocol-based utility-to-log student engagement;protocol-based multiobserver data logging","","","","17","","3 Mar 2014","","","IEEE","IEEE Conferences"
