Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Poženel, M., Slivnik, B.","36099376600; 57194648981","Using clickstream data to enhance reverse engineering of Web applications",2020,"Advances in Computers",116,"1",,305,349,,1,10.1016/bs.adcom.2019.07.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074495091&partnerID=40&md5=cb5e8bf1fb3d59892fd96aa444f130c3",Book Chapter,Final,,Scopus,2-s2.0-85074495091
"George, J.S., Verma, M., Venkatasubramanian, R., Subrahmanyam, P.","57219256868; 57219250275; 57196259316; 24081345000","go-pmem: Native support for programming persistent memory in go",2020,"Proceedings of the 2020 USENIX Annual Technical Conference, ATC 2020",,"",,859,872,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091931316&partnerID=40&md5=456cc50fd8f9595efa3aa4466a10881e",Conference Paper,Final,,Scopus,2-s2.0-85091931316
"Mostafa, N.","56638020000","Resource selection service based on neural network in fog environment",2020,"Advances in Science, Technology and Engineering Systems",5,"1",,408,417,,,10.25046/aj050152,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081335285&partnerID=40&md5=cb241b55444daa511905da6d0b6ffbc2",Article,Final,Open Access,Scopus,2-s2.0-85081335285
"Kheiry, F., Kargarian-Marvasti, S., Afrashteh, S., Mohammadbeigi, A., Daneshi, N., Naderi, S., Saadat, S.H.","57208683327; 57195521521; 57202707215; 36809981900; 57194622584; 18038325100; 57211231703","Evaluation of goodness of fit of semiparametric and parametric models in analysis of factors associated with length of stay in neonatal intensive care unit",2020,"Korean Journal of Pediatrics",63,"9",,361,367,,1,10.3345/cep.2019.00437,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089832693&partnerID=40&md5=a7ce6e5b0c85e5560432af12fc43be93",Article,Final,Open Access,Scopus,2-s2.0-85089832693
"van Laere, J., Johansson, B.J.E., Olsson, L., Määttä, P.","14831909500; 27172289700; 7203077522; 57213003144","Mitigating escalation of cascading effects of a payment disruption across other critical infrastructures: Lessons learned in 15 simulation-games",2020,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",11777 LNCS,"",,110,121,,,10.1007/978-3-030-37670-3_9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077503830&partnerID=40&md5=16151db2e44619d665efd5403560cac8",Conference Paper,Final,,Scopus,2-s2.0-85077503830
"Safari, M., Abbasi, M., Gohari Ensaf, F., Berangi, Z., Roshanaei, G.","57209058734; 57220606911; 57209603155; 57194744437; 37003063100","Identification of factors affecting metastatic gastric cancer patients’ survival using the random survival forest and comparison with cox regression model",2020,"Iranian Journal of Epidemiology",15,"4",,343,351,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079611153&partnerID=40&md5=c13c4b8b4bb91863c39d61c85d68d339",Article,Final,,Scopus,2-s2.0-85079611153
"Cartwright, J.P.E., Tauriainen, M.T., Parker, R.J.","57219142603; 57190249560; 57219140786","Innovative data analytics to enhance journey management compliance",2020,"Society of Petroleum Engineers - SPE International Conference and Exhibition on Health, Safety, Environment, and Sustainability 2020, HSE and Sustainability 2020",,"", SPE-199388-MS,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091413824&partnerID=40&md5=d658637f94d428ec221bf82a409de1ec",Conference Paper,Final,,Scopus,2-s2.0-85091413824
"Guo, Q., Zhu, J., Wu, Y., Wen, H., Xia, L., Yu, M., Wang, S., Ju, X., Wu, X.","57221017249; 57198763929; 56739547800; 57069478000; 56029563000; 57219929786; 57219444257; 23489152200; 37119622300","Comparison of different lymph node staging systems in patients with node-positive cervical squamous cell carcinoma following radical surgery",2020,"Journal of Cancer",11,"24",,7339,7347,,1,10.7150/jca.48085,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85096120862&partnerID=40&md5=7d7d3cda4bfd7b9f1a386803fd5e56e3",Article,Final,Open Access,Scopus,2-s2.0-85096120862
[No author name available],[No author name available],"22nd International Conference on Human-Computer Interaction, HCII 2020",2020,"Communications in Computer and Information Science",1224 CCIS,"",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85088789243&partnerID=40&md5=3fd9f95c0d8f01143986b7c3ab1f72f5",Conference Review,Final,,Scopus,2-s2.0-85088789243
"Sobh, T.S.","7007049845","Separating monitoring from control in sdn to mitigate ddos attacks in hybrid clouds",2020,"International Journal of Sensors, Wireless Communications and Control",10,"3",,382,394,,,10.2174/2210327909666190515111119,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85096478284&partnerID=40&md5=50c0d6a542e5a407ef7340a655c28726",Article,Final,,Scopus,2-s2.0-85096478284
"Wilhelm, M.-L., Chan, M.K.H., Abel, B., Cremers, F., Siebert, F.-A., Wurster, S., Krug, D., Wolff, R., Dunst, J., Hildebrandt, G., Schweikard, A., Rades, D., Ernst, F., Blanck, O.","57207046960; 55355414100; 57217302045; 13406343900; 7006927024; 57189306553; 55874675000; 7201588494; 57191918752; 7102870551; 6603931368; 7004594537; 23467018300; 56253914100","Tumor-dose-rate variations during robotic radiosurgery of oligo and multiple brain metastases",2020,"Strahlentherapie und Onkologie",,"",,,,,1,10.1007/s00066-020-01652-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85087087184&partnerID=40&md5=9b201c01a222b9bc7e451d9e442175ad",Article,Article in Press,Open Access,Scopus,2-s2.0-85087087184
"de Robbio, A., Subirats, I., Peset, F.","57220323622; 23393617100; 23393767700","E-LIS between old and new forms of Grey Literature encompasses new forms of relationship between librarians in the different country",2020,"GL-Conference Series: Conference Proceedings",2020-October,"",,139,146,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85080074963&partnerID=40&md5=61966cdb90d4737a04db34f6dcc186b9",Conference Paper,Final,,Scopus,2-s2.0-85080074963
"Yu, X., Trainor-Guitton, W., Miskimins, J.","57215187915; 53878690800; 6603454346","A data driven approach in screenout detection for horizontal wells",2020,"Society of Petroleum Engineers - SPE Hydraulic Fracturing Technology Conference and Exhibition 2020, HFTC 2020",,"",,,,,,10.2118/199707-ms,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85085667632&partnerID=40&md5=a2367aaef3ddba67ba62dca739518f84",Conference Paper,Final,,Scopus,2-s2.0-85085667632
"Kim, B.W., Kim, S.K., Heo, K.W., Bae, K.B., Jeong, K.H., Lee, S.H., Kim, T.H., Kim, Y.H., Kang, S.W.","57213160922; 24478711800; 57213154676; 55763791420; 8443579300; 55890136000; 57212232128; 7410196419; 57203490208","Association between epidermal growth factor (EGF) and EGF receptor gene polymorphisms and end-stage renal disease and acute renal allograft rejection in a Korean population",2020,"Renal Failure",42,"1",,98,106,,2,10.1080/0886022X.2019.1710535,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077616389&partnerID=40&md5=5e8e479f433bdeddf742dd4771194edf",Article,Final,Open Access,Scopus,2-s2.0-85077616389
"Hovda, L., Phadke, A., Mueller, D., Stevens, J., Ryan, A., Nevøy, H.","57220750668; 7005242414; 7202616559; 57220800258; 57220750491; 55942616400","Best practice for cementing and zonal isolation using the jet-type perforate, wash and cement technique",2020,"Society of Petroleum Engineers - SPE Asia Pacific Oil and Gas Conference and Exhibition 2020, APOG 2020",,"",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85097528070&partnerID=40&md5=311389cf9c27a657bd06c15b408bb97a",Conference Paper,Final,,Scopus,2-s2.0-85097528070
"Uspenskij, M.B.","57205082079","Log mining and knowledge-based models in data storage systems diagnostics",2019,"E3S Web of Conferences",140,"", 03006,,,,,10.1051/e3sconf/201914003006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077092221&partnerID=40&md5=7ad6dacf2f2f7c1e8f45eb1704f61e06",Conference Paper,Final,Open Access,Scopus,2-s2.0-85077092221
"Bozhikov, S., Vassileva, F., Mitarova, K., Paarvanova, B., Tacheva, B., Karabaliev, M.","57212469951; 57212472060; 57189381448; 55181717900; 57118166500; 6602091893","Using trajectory log files as additional tool for dosimetry verification plan. A case in practice",2019,"AIP Conference Proceedings",2186,"", 110005,,,,1,10.1063/1.5138024,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076732213&partnerID=40&md5=e885f298dddc2b958712a8fb4b443bc0",Conference Paper,Final,,Scopus,2-s2.0-85076732213
"Dorrer, M.G., Popov, A.A., Bartuzanova, A.N.","7801536262; 7402986149; 57212865045","Analysis of information resource life cycle",2019,"Journal of Physics: Conference Series",1399,"3", 033083,,,,2,10.1088/1742-6596/1399/3/033083,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077456094&partnerID=40&md5=ce1324d5842b800885fda86a84d90af1",Conference Paper,Final,Open Access,Scopus,2-s2.0-85077456094
"Shokri, A., Akbari-Sari, A., Bayat, M., Khodadost, M., Rahimi Foroushani, A., Mirbahaeddin, S.E., Farzianpour, F.","57192161989; 55375558700; 57192164041; 56556917600; 24461426600; 57192153971; 26535706100","Estimate general practitioners active supply in iran: Capture-recapture method for three data sources",2019,"Iranian Journal of Public Health",48,"12",,2240,2248,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076366442&partnerID=40&md5=11016a938c70902bc9373f42fa249f55",Article,Final,,Scopus,2-s2.0-85076366442
"Duy, P.T., Do Hoang, H., Thu Hien, D.T., Ba Khanh, N., Pham, V.-H.","57202751987; 57216147237; 57215315509; 57216163986; 57193725995","SDNLog-Foren: Ensuring the integrity and tamper resistance of log files for SDN forensics using blockchain",2019,"Proceedings - 2019 6th NAFOSTED Conference on Information and Computer Science, NICS 2019",,"", 9023852,416,421,,1,10.1109/NICS48868.2019.9023852,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082656380&partnerID=40&md5=3824c8b8e82087c332ab857dc8c08a62",Conference Paper,Final,,Scopus,2-s2.0-85082656380
"Kurniati, A.P., Rojas, E., Hogg, D., Hall, G., Johnson, O.A.","56411983500; 25636372400; 7103188000; 16444338600; 14822120300","The assessment of data quality issues for process mining in healthcare using Medical Information Mart for Intensive Care III, a freely available e-health record database",2019,"Health Informatics Journal",25,"4",,1878,1893,,11,10.1177/1460458218810760,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058934769&partnerID=40&md5=4c25421d4945403bbfcf2832f3578bf7",Article,Final,Open Access,Scopus,2-s2.0-85058934769
"Che, H., Iradukunda, O., Shahin, K.","23974431900; 57219257758; 57219256691","RDBMS Based Hadoop Metadata and Log Data Management Optimization",2019,"ICSIDP 2019 - IEEE International Conference on Signal, Information and Data Processing 2019",,"", 9173057,,,,,10.1109/ICSIDP47821.2019.9173057,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091937203&partnerID=40&md5=3c45f2372f61a71e68f62bf394b70c1a",Conference Paper,Final,,Scopus,2-s2.0-85091937203
"Zeng, Y., Chen, J., Shang, W., Chen, T.-H.P.","57205716732; 57200285624; 35093168200; 55339201600","Studying the characteristics of logging practices in mobile apps: a case study on F-Droid",2019,"Empirical Software Engineering",24,"6",,3394,3434,,8,10.1007/s10664-019-09687-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061227403&partnerID=40&md5=98a47b10441c1efe60beff1ca1c97864",Article,Final,,Scopus,2-s2.0-85061227403
"Irfan, A., Rahman, A.U.","57215214250; 57022909600","Tracking the ripple impact of code changes through version control systems",2019,"Proceedings - 2019 International Conference on Frontiers of Information Technology, FIT 2019",,"", 8991662,262,265,,,10.1109/FIT47737.2019.00056,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85080144287&partnerID=40&md5=680109a42b2f64821eab1f9c45e76fd2",Conference Paper,Final,,Scopus,2-s2.0-85080144287
"Hosseini, N., Fakhar, F., Kiani, B., Eslami, S.","57208247147; 57211216890; 57194208671; 14519038000","Enhancing the security of patients’ portals and websites by detecting malicious web crawlers using machine learning techniques",2019,"International Journal of Medical Informatics",132,"", 103976,,,,2,10.1016/j.ijmedinf.2019.103976,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073007773&partnerID=40&md5=da9037fb4a4648812f8093e0190c281b",Article,Final,,Scopus,2-s2.0-85073007773
"Yerima, S.Y., Alzaylaee, M.K., Sezer, S.","22735916500; 57190579820; 7004935772","Machine learning-based dynamic analysis of Android apps with improved code coverage",2019,"Eurasip Journal on Information Security",2019,"1", 4,,,,7,10.1186/s13635-019-0087-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065019743&partnerID=40&md5=cedb0878d825e92eada323c17129bce7",Article,Final,Open Access,Scopus,2-s2.0-85065019743
"Ismail, S., Tumin, F.","50861403500; 57216747651","Analysis on online learning environment using process mining technique for personal knowledge management mapping",2019,"International Conference on Research and Innovation in Information Systems, ICRIIS",December-2019,"", 9073269,,,,,10.1109/ICRIIS48246.2019.9073269,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084433722&partnerID=40&md5=5d18553502f6ded515c60e96fa4b1b1d",Conference Paper,Final,,Scopus,2-s2.0-85084433722
"Li, H., Peng, S., Li, J., Li, J., Cui, J., Ma, J.","57211504233; 57210207462; 57206968108; 57210214753; 8634182000; 25621725700","Counting the frequency of time-constrained serial episodes in a streaming sequence",2019,"Information Sciences",505,"",,422,439,,1,10.1016/j.ins.2019.07.098,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069902935&partnerID=40&md5=2d805c4ac6a9444ca775d8944aa8a643",Article,Final,,Scopus,2-s2.0-85069902935
"Joseph, P., Kent, A.J., Green, P.D., Robinson, M., Bellenger, A.","55132914100; 57211495247; 57192439363; 57211495260; 57211495279","Analysis of EZproxy server logs to visualise research activity in Curtin’s online library",2019,"Library Hi Tech",37,"4",,845,865,,1,10.1108/LHT-04-2018-0050,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074181750&partnerID=40&md5=2b511bc159225519b0900862ae76074d",Article,Final,,Scopus,2-s2.0-85074181750
"Murphy, S.A.","8073800400","A non-programmers guide to enhancing and making sense of EZ Proxy logs",2019,"Performance Measurement and Metrics",20,"3",,186,195,,,10.1108/PMM-08-2019-0034,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077473448&partnerID=40&md5=3818a591f48071be7ac6c587f8ddf2ef",Article,Final,,Scopus,2-s2.0-85077473448
"Ketema, D.B., Muchie, K.F., Andargie, A.A.","57207259667; 57194458469; 57195773221","Time to poor treatment outcome and its predictors among drug-resistant tuberculosis patients on second-line anti-Tuberculosis treatment in Amhara region, Ethiopia: Retrospective cohort study",2019,"BMC Public Health",19,"1", 1481,,,,4,10.1186/s12889-019-7838-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074731162&partnerID=40&md5=194f0774fa156055593f1b23d787e4fd",Article,Final,Open Access,Scopus,2-s2.0-85074731162
"Xu, Z., Chen, J., Peng, L., Zhao, W., Chu, X.","57207734118; 57210923449; 7201573192; 55745735000; 57211215595","A General Analysis Method for Data Link Log Files",2019,"Journal of Physics: Conference Series",1325,"1", 012144,,,,1,10.1088/1742-6596/1325/1/012144,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85075828043&partnerID=40&md5=0c26949dba4736ede4625c34981fd6e4",Conference Paper,Final,Open Access,Scopus,2-s2.0-85075828043
"Wolski, R., Krintz, C., Bakir, F., George, G., Lin, W.-T.","7006432790; 6602590250; 57204665809; 57210790674; 57202438186","CSPOT: Portable, multi-scale functions-as-a-service for IoT",2019,"Proceedings of the 4th ACM/IEEE Symposium on Edge Computing, SEC 2019",,"",,236,249,,4,10.1145/3318216.3363314,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076260123&partnerID=40&md5=4cba5c0c1376ea0722874ca8a759b18e",Conference Paper,Final,Open Access,Scopus,2-s2.0-85076260123
"Dmitriev, D.S., Dovgalyuk, P.M., Makarov, V.A.","7005975590; 55204822700; 57162185200","What is reverse debugging? Classification of reverse debugging methods",2019,"Journal of Physics: Conference Series",1352,"1", 012010,,,,,10.1088/1742-6596/1352/1/012010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076159217&partnerID=40&md5=ac66c63a911dc806e96e8a8afb46069e",Conference Paper,Final,Open Access,Scopus,2-s2.0-85076159217
"Pobee, E., Mei, X., Chan, W.K.","57196402020; 57203942754; 55471383000","Efficient transaction-based deterministic replay for multi-threaded programs",2019,"Proceedings - 2019 34th IEEE/ACM International Conference on Automated Software Engineering, ASE 2019",,"", 8952181,760,771,,1,10.1109/ASE.2019.00076,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078887255&partnerID=40&md5=a0ba0d5e6134470693955a67a2dc6b5c",Conference Paper,Final,,Scopus,2-s2.0-85078887255
"Yang, S., Ding, L.","57215565258; 57209953011","Research on remote monitoring technology of operating state software of charging pile",2019,"Proceedings - 2019 International Conference on Electronic Engineering and Informatics, EEI 2019",,"", 8991059,299,303,,,10.1109/EEI48997.2019.00072,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081175436&partnerID=40&md5=06c520ba557fb032dd22ba1598ce1da1",Conference Paper,Final,,Scopus,2-s2.0-85081175436
"Putz, B., Menges, F., Pernul, G.","57210123076; 57197747180; 6604039051","A secure and auditable logging infrastructure based on a permissioned blockchain",2019,"Computers and Security",87,"", 101602,,,,5,10.1016/j.cose.2019.101602,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071854061&partnerID=40&md5=50c439465233132c98b8f84a91bbc642",Article,Final,,Scopus,2-s2.0-85071854061
"Liu, J., Zhu, J., He, S., He, P., Zheng, Z., Lyu, M.R.","57210980938; 56136176100; 57191853952; 56241158600; 25224189400; 7006811415","Logzip: Extracting hidden structures via iterative clustering for log compression",2019,"Proceedings - 2019 34th IEEE/ACM International Conference on Automated Software Engineering, ASE 2019",,"", 8952406,863,873,,7,10.1109/ASE.2019.00085,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078887259&partnerID=40&md5=f267635eba4ed1a317c1948128af3ae9",Conference Paper,Final,,Scopus,2-s2.0-85078887259
"Silvestre, L., Vera, J.M.","57214669123; 57214675248","Improving Continuous Software Development in Academic Scenarios using GitHubTracker",2019,"Proceedings - International Conference of the Chilean Computer Science Society, SCCC",2019-November,"", 8966391,,,,,10.1109/SCCC49216.2019.8966391,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078929372&partnerID=40&md5=1b8e2236313c675768d1e7c352c56291",Conference Paper,Final,,Scopus,2-s2.0-85078929372
"Baskoro, S., Sunindyo, W.D.","57216969639; 36081148700","Predicting Issue Handling Process using Case Attributes and Categorical Variable Encoding Techniques",2019,"Proceedings of 2019 International Conference on Data and Software Engineering, ICoDSE 2019",,"", 9092617,,,,,10.1109/ICoDSE48700.2019.9092617,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85085578819&partnerID=40&md5=4439fc5d31fd3d89f1d74645a2e76f1a",Conference Paper,Final,,Scopus,2-s2.0-85085578819
"Dos Santos, C.A.R., Matias, R., Trivedi, K.S.","55907549800; 24338985000; 7102364865","An Empirical Exploratory Analysis of Failure Sequences in a Commodity Operating System",2019,"Brazilian Symposium on Computing System Engineering, SBESC",2019-November,"", 9046072,,,,1,10.1109/SBESC49506.2019.9046072,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083028398&partnerID=40&md5=6452b68a9a5ecefd821dad1322a8f958",Conference Paper,Final,,Scopus,2-s2.0-85083028398
"Agapito, G., Calabrese, B., Guzzi, P.H., Graziano, S., Cannataro, M.","55371906400; 35277153500; 56388531300; 56439254100; 6603766091","Association Rule Mining from large datasets of clinical invoices document",2019,"Proceedings - 2019 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2019",,"", 8982934,2232,2238,,,10.1109/BIBM47256.2019.8982934,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084341072&partnerID=40&md5=47d0f456df1054bd57cd22b4ac6651dd",Conference Paper,Final,,Scopus,2-s2.0-85084341072
"Goel, P., Pistikopoulos, E.N., Mannan, M.S., Datta, A.","57195605780; 35589250700; 7103014437; 7402110463","A data-driven alarm and event management framework",2019,"Journal of Loss Prevention in the Process Industries",62,"", 103959,,,,5,10.1016/j.jlp.2019.103959,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072780955&partnerID=40&md5=b8d52f395ac7f5dc2348cc3290b54dee",Article,Final,,Scopus,2-s2.0-85072780955
"Eljialy, A.E.M., Ahmad, S.","57215185852; 57194429140","Errors Detection Mechanism in Big Data",2019,"Proceedings of the 2nd International Conference on Smart Systems and Inventive Technology, ICSSIT 2019",,"", 8987890,323,328,,,10.1109/ICSSIT46314.2019.8987890,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85080069690&partnerID=40&md5=36689fe97a15f630b5a0fe6921a7d1ba",Conference Paper,Final,,Scopus,2-s2.0-85080069690
"Zaman, T.S., Han, X., Yu, T.","57195997342; 57169256100; 36987016200","SCMiner: Localizing system-level concurrency faults from large system call traces",2019,"Proceedings - 2019 34th IEEE/ACM International Conference on Automated Software Engineering, ASE 2019",,"", 8952396,515,526,,,10.1109/ASE.2019.00055,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078912170&partnerID=40&md5=bfb625ff31f59eabf73af6158930aaf0",Conference Paper,Final,,Scopus,2-s2.0-85078912170
"Kargarian-Marvasti, S., Afrashteh, S., Rafiei, G.","57195521521; 57202707215; 54684804800","Evaluation of survival analysis models for predicting factors infuencing the time of brucellosis diagnosis",2019,"Journal of Kerman University of Medical Sciences",26,"6", 10,499,508,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079665947&partnerID=40&md5=95d8e87a387566abd65ad46821345365",Article,Final,,Scopus,2-s2.0-85079665947
"Liang, J., Wang, H., Blum, M.J., Ji, X.","57190126675; 49962767400; 7202379924; 57190123737","Demarcation and correlation of stratigraphic sequences using wavelet and Hilbert-Huang transforms: A case study from Niger Delta Basin",2019,"Journal of Petroleum Science and Engineering",182,"", 106329,,,,3,10.1016/j.petrol.2019.106329,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070581409&partnerID=40&md5=a93dd8a3c46a3832b1a7105d2acc1918",Article,Final,,Scopus,2-s2.0-85070581409
"Kawamoto, K., Kukhareva, P., Shakib, J.H., Kramer, H., Rodriguez, S., Warner, P.B., Shields, D., Weir, C., Del Fiol, G., Taft, T., Stipelman, C.H.","8370215600; 56741208300; 15740127100; 36025563300; 57211797889; 55805086900; 55805893700; 8559684500; 7801426540; 56809103200; 56176770100","Association of an Electronic Health Record Add-on App for Neonatal Bilirubin Management With Physician Efficiency and Care Quality",2019,"JAMA network open",2,"11",,e1915343,,,6,10.1001/jamanetworkopen.2019.15343,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85075066441&partnerID=40&md5=b6d8b93af3a0e7f0f8b120bc3f758246",Article,Final,Open Access,Scopus,2-s2.0-85075066441
"De Smedt, J., Hasić, F., vanden Broucke, S.K.L.M., Vanthienen, J.","57110895800; 57194772342; 55369965500; 7003650333","Holistic discovery of decision models from process execution data",2019,"Knowledge-Based Systems",183,"", 104866,,,,6,10.1016/j.knosys.2019.104866,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069935661&partnerID=40&md5=fa9de0a05c0e684ea787a371d5544fb3",Article,Final,,Scopus,2-s2.0-85069935661
"Sarkar, S., Totaro, M.W., Elgazzar, K.","57212868265; 6603430655; 35100257700","Leveraging the Cloud to Achieve Near Real-time Processing for Drone-Generated Data",2019,"2019 IEEE Women in Engineering (WIE) Forum USA East, WIE Forum 2019",,"", 8981670,,,,1,10.1109/WIEForum47344.2019.8981670,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084390065&partnerID=40&md5=031f5be311874e56ea9c4e77b6ba59dd",Conference Paper,Final,,Scopus,2-s2.0-85084390065
"Zhu, J., Rong, G., Huang, G., Gu, S., Zhang, H., Shao, D.","57211693196; 36987162200; 57211681320; 57201733161; 55685593500; 16508165800","JLLAR: A logging recommendation plug-in tool for java",2019,"ACM International Conference Proceeding Series",,"", 3361261,,,,,10.1145/3361242.3361261,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074820696&partnerID=40&md5=2e3e67e957a42cefba1dc44832dffcb4",Conference Paper,Final,,Scopus,2-s2.0-85074820696
"El-Metwaly, N., Althagafi, I., Khedr, A.M., Al-Fahemi, J.H., Katouah, H.A., Hossan, A.S., Al-Dawood, A.Y., Al-Hazmi, G.A.","6506831919; 56202239000; 7004702708; 9734973000; 36544999400; 37103943200; 57188718767; 6506665830","Synthesis and characterization for novel Cu(II)-thiazole complexes-dyes and their usage in dyeing cotton to be special bandage for cancerous wounds",2019,"Journal of Molecular Structure",1194,"",,86,103,,6,10.1016/j.molstruc.2019.05.080,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066455403&partnerID=40&md5=1119dad439eb1c2083c7a43ca9cbf108",Article,Final,,Scopus,2-s2.0-85066455403
"El Abdelkhalki, J., Ben Ahmed, M., Slimani, A.","57202875654; 55810305100; 57191486708","Incident prediction through logging management and machine learning",2019,"ACM International Conference Proceeding Series",,"", a83,,,,1,10.1145/3368756.3369069,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077738889&partnerID=40&md5=e1f40db7f8b4be9bb468a1590a8df8c2",Conference Paper,Final,,Scopus,2-s2.0-85077738889
"Kishore, P., Barisal, S.K., Vaish, S.","57213193273; 57209334434; 57213194180","NITRSCT: A Software Security tool for collection and analysis of Kernel Calls",2019,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",2019-October,"", 8929513,510,515,,5,10.1109/TENCON.2019.8929513,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077693023&partnerID=40&md5=91d69abd0ef6f399e41f4bc3de24f1fd",Conference Paper,Final,,Scopus,2-s2.0-85077693023
"Al Shibani, M., Anupriya, E.","57211605070; 57211610721","Automated threat hunting using ELK stack – a case study",2019,"Indian Journal of Computer Science and Engineering",10,"5",,118,127,,,10.21817/indjcse/2019/v10i5/191005008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074599590&partnerID=40&md5=a04505a9c72f2ec5a6d16146ed386a59",Article,Final,Open Access,Scopus,2-s2.0-85074599590
"Agostinelli, S., Maggi, F.M., Marrella, A., Milani, F.","57209202329; 35318465800; 23569686800; 55320178900","A user evaluation of process discovery algorithms in a software engineering company",2019,"Proceedings - 2019 IEEE 23rd International Enterprise Distributed Object Computing Conference, EDOC 2019",,"", 8944956,142,150,,1,10.1109/EDOC.2019.00026,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078235836&partnerID=40&md5=83124de99a5a4542ea8a96b282587262",Conference Paper,Final,,Scopus,2-s2.0-85078235836
"Sim, H., Vazhkudai, S.S.","57189249648; 6507061661","Profiling the usage of an extreme-scale archival storage system",2019,"Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS",2019-October,"", 8842850,410,422,,,10.1109/MASCOTS.2019.00050,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077787479&partnerID=40&md5=7ac251ff2507e1eea6ee148d608bfa99",Conference Paper,Final,,Scopus,2-s2.0-85077787479
"Rochim, A.F., Aziz, M.A., Fauzi, A.","56104252700; 57216694802; 57210473830","Design Log Management System of Computer Network Devices Infrastructures Based on ELK Stack",2019,"ICECOS 2019 - 3rd International Conference on Electrical Engineering and Computer Science, Proceeding",,"", 8984494,338,342,,4,10.1109/ICECOS47637.2019.8984494,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084291687&partnerID=40&md5=d859b90ff845c7a4a61c6f90e3136966",Conference Paper,Final,,Scopus,2-s2.0-85084291687
